PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
19450301 19450331    16.2
19450401 19450430    13.1
19450501 19450531   100.5
19450601 19450630   213.6
19450701 19450731   101.4
19450801 19450831   264.4
19450901 19450930   126.8
19451001 19451031   163.5
19451101 19451130   223.1
19451201 19451231    29.9
19460101 19460131   157.0
19460201 19460228   250.6
19460301 19460331    93.3
19460401 19460430    94.5
19460501 19460531    78.6
19460601 19460630    79.6
19460701 19460731   259.6
19460801 19460831   110.2
19460901 19460930    39.0
19461001 19461031   106.4
19461101 19461130   121.8
19461201 19461231    75.0
19470101 19470131    17.1
19470201 19470228   124.7
19470301 19470331   291.3
19470401 19470430    36.4
19470501 19470531    81.9
19470601 19470630   163.4
19470701 19470731   264.4
19470801 19470831   128.7
19470901 19470930   143.0
19471001 19471031   240.2
19471101 19471130   114.7
19471201 19471231   183.4
19480101 19480131    16.6
19480201 19480229   216.9
19480301 19480331     7.1
19480401 19480430   104.7
19480501 19480531   179.4
19480601 19480630   121.4
19480701 19480731   103.8
19480801 19480831    98.4
19480901 19480930    82.2
19481001 19481031   214.3
19481101 19481130   217.1
19481201 19481231    78.6
19490101 19490131    39.9
19490201 19490228    75.5
19490301 19490331   261.6
19490401 19490430    46.5
19490501 19490531   111.4
19490601 19490630    70.1
19490701 19490731   119.0
19490801 19490831    83.9
19490901 19490930   157.5
19491001 19491031   372.0
19491101 19491130   239.4
19491201 19491231    20.9
19500101 19500131    16.2
19500201 19500228   163.7
19500301 19500331   356.3
19500401 19500430    65.5
19500501 19500531   135.1
19500601 19500630    42.5
19500701 19500731   126.8
19500801 19500831    91.5
19500901 19500930   161.3
19501001 19501031   197.2
19501101 19501130   129.9
19501201 19501231    43.4
19510101 19510131    40.4
19510201 19510228    71.2
19510301 19510331     0.0
19510401 19510430   150.9
19510501 19510531   240.1
19510601 19510630   117.4
19510701 19510731   292.6
19510801 19510831   181.2
19510901 19510930    64.9
19511001 19511031   119.0
19511101 19511130    55.8
19511201 19511231    69.9
19520101 19520131    42.7
19520201 19520229    17.3
19520301 19520331    74.1
19520401 19520430   155.6
19520501 19520531   123.7
19520601 19520630   228.1
19520701 19520731   199.1
19520801 19520831    80.8
19520901 19520930   158.9
19521001 19521031   197.2
19521101 19521130   210.3
19521201 19521231    71.5
19530101 19530131    66.0
19530201 19530228    34.7
19530301 19530331    11.4
19530401 19530430    51.8
19530501 19530531   109.8
19530601 19530630   174.3
19530701 19530731   176.8
