PRCP       007057 18941101 20101130 missing_value=99999.9 MOUNT MAGNET                              
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131   121.8
19870201 19870228     0.6
19870301 19870331    14.8
19870401 19870430     8.7
19870501 19870531    11.0
19870601 19870630    74.8
19870701 19870731     9.4
19870801 19870831    16.4
19870901 19870930     0.0
19871001 19871031     2.0
19871101 19871130    38.0
19871201 19871231     0.6
19880101 19880131    14.6
19880201 19880229    11.8
19880301 19880331     1.7
19880401 19880430    10.4
19880501 19880531    34.2
19880601 19880630 99999.9
19880701 19880731    34.9
19880801 19880831    26.1
19880901 19880930     0.0
19881001 19881031     0.4
19881101 19881130    44.8
19881201 19881231    34.7
19890101 19890131    89.3
19890201 19890228    57.2
19890301 19890331     1.3
19890401 19890430    32.2
19890501 19890531    45.8
19890601 19890630    30.8
19890701 19890731    13.8
19890801 19890831     0.6
19890901 19890930     0.4
19891001 19891031     0.0
19891101 19891130     1.4
19891201 19891231     7.8
19900101 19900131    45.2
19900201 19900228    25.4
19900301 19900331     7.8
19900401 19900430     5.6
19900501 19900531     7.6
