PRCP       024521 18851101 20180131 missing_value=99999.9 MURRAY BRIDGE                             
19690201 19690228   128.5
19690301 19690331    30.7
19690401 19690430    11.2
19690501 19690531    43.9
19690601 19690630     9.1
19690701 19690731    63.0
19690801 19690831    35.1
19690901 19690930    42.9
19691001 19691031     3.6
19691101 19691130    23.9
19691201 19691231    38.4
19700101 19700131    33.6
19700201 19700228     0.0
19700301 19700331    23.0
19700401 19700430    25.2
19700501 19700531    32.0
19700601 19700630    26.5
19700701 19700731    22.8
19700801 19700831    53.3
19700901 19700930    72.3
19701001 19701031     7.9
19701101 19701130    43.0
19701201 19701231    41.2
19710101 19710131     2.8
19710201 19710228     1.0
19710301 19710331    30.2
19710401 19710430    51.9
19710501 19710531    28.6
19710601 19710630    30.0
19710701 19710731    22.0
19710801 19710831    47.6
19710901 19710930    36.9
19711001 19711031    14.6
19711101 19711130    37.3
19711201 19711231    10.2
19720101 19720131    64.8
19720201 19720229    37.9
19720301 19720331     2.0
19720401 19720430    26.9
19720501 19720531    10.0
19720601 19720630    11.3
19720701 19720731    37.6
19720801 19720831    29.0
19720901 19720930    10.8
19721001 19721031    11.7
19721101 19721130    24.4
19721201 19721231    18.4
19730101 19730131    20.2
19730201 19730228    88.7
19730301 19730331    19.5
19730401 19730430    26.4
19730501 19730531    26.1
19730601 19730630    40.8
19730701 19730731    28.1
19730801 19730831    53.8
19730901 19730930    29.2
19731001 19731031    78.7
19731101 19731130    21.6
19731201 19731231    13.0
19740101 19740131    51.6
19740201 19740228    75.8
19740301 19740331    59.8
19740401 19740430    95.6
19740501 19740531    66.0
19740601 19740630    24.0
19740701 19740731    58.0
19740801 19740831    22.6
19740901 19740930    58.8
19741001 19741031   135.6
19741101 19741130    19.2
19741201 19741231     8.4
19750101 19750131    18.8
19750201 19750228     1.6
19750301 19750331    45.2
19750401 19750430    12.4
19750501 19750531    24.8
19750601 19750630    11.8
19750701 19750731    35.4
19750801 19750831    22.7
19750901 19750930    47.6
19751001 19751031   103.2
19751101 19751130    11.8
19751201 19751231     5.6
19760101 19760131    10.0
19760201 19760229    26.0
19760301 19760331     3.0
19760401 19760430     8.3
19760501 19760531     6.8
19760601 19760630    22.4
19760701 19760731    11.2
19760801 19760831    35.0
19760901 19760930    52.9
19761001 19761031    67.8
19761101 19761130    17.8
19761201 19761231    14.4
19770101 19770131    18.4
19770201 19770228    12.2
19770301 19770331    12.8
19770401 19770430    15.6
19770501 19770531    38.6
19770601 19770630    34.4
19770701 19770731    13.4
19770801 19770831    12.2
19770901 19770930    29.8
19771001 19771031    18.0
19771101 19771130    87.0
19771201 19771231    10.2
19780101 19780131     3.8
19780201 19780228     1.4
19780301 19780331     7.6
19780401 19780430    29.3
19780501 19780531    47.8
19780601 19780630    39.8
19780701 19780731    51.2
19780801 19780831    60.4
19780901 19780930    48.6
19781001 19781031    26.0
19781101 19781130    38.0
19781201 19781231    14.4
19790101 19790131    22.2
19790201 19790228    36.2
19790301 19790331    15.0
19790401 19790430    20.8
19790501 19790531    36.6
19790601 19790630     4.8
19790701 19790731    12.2
19790801 19790831    54.8
19790901 19790930    78.4
19791001 19791031    67.2
19791101 19791130    37.4
19791201 19791231     3.8
19800101 19800131     1.8
19800201 19800229     2.6
19800301 19800331     2.2
19800401 19800430    62.6
19800501 19800531    49.0
19800601 19800630    50.1
19800701 19800731    12.6
19800801 19800831    15.0
19800901 19800930    17.8
19801001 19801031    85.0
19801101 19801130     9.6
19801201 19801231    18.0
19810101 19810131    46.8
19810201 19810228     4.6
19810301 19810331    17.2
19810401 19810430     4.0
