PRCP       041082 18861201 20171231 missing_value=99999.9 PITTSWORTH YANDILLA STREET                
19721001 19721031   251.0
19721101 19721130    81.9
19721201 19721231    68.1
19730101 19730131   116.3
19730201 19730228    57.9
19730301 19730331    45.6
19730401 19730430     2.3
19730501 19730531     9.2
19730601 19730630    15.8
19730701 19730731    97.2
19730801 19730831    42.5
19730901 19730930    50.9
19731001 19731031    37.1
19731101 19731130    59.0
19731201 19731231    87.9
19740101 19740131   194.0
19740201 19740228     9.8
19740301 19740331    20.4
19740401 19740430    18.2
19740501 19740531    49.8
19740601 19740630    24.2
19740701 19740731     8.6
19740801 19740831    30.4
19740901 19740930    32.2
19741001 19741031    79.2
19741101 19741130   180.6
19741201 19741231   101.8
19750101 19750131   109.2
19750201 19750228    85.3
19750301 19750331   107.6
19750401 19750430    32.6
19750501 19750531     0.0
19750601 19750630    27.0
19750701 19750731    61.6
19750801 19750831    38.1
19750901 19750930    45.2
19751001 19751031    87.0
19751101 19751130   101.7
19751201 19751231   182.3
19760101 19760131    63.6
19760201 19760229   141.1
19760301 19760331   111.2
19760401 19760430     0.0
19760501 19760531    59.0
19760601 19760630    28.6
19760701 19760731    45.4
19760801 19760831     1.0
19760901 19760930    68.2
19761001 19761031    42.9
19761101 19761130   106.2
19761201 19761231    36.6
19770101 19770131    45.0
19770201 19770228    52.6
19770301 19770331   123.0
19770401 19770430    52.0
19770501 19770531    77.0
19770601 19770630     2.6
19770701 19770731     0.0
19770801 19770831    15.8
19770901 19770930     6.8
19771001 19771031    25.8
19771101 19771130   127.8
19771201 19771231    12.6
19780101 19780131    80.9
19780201 19780228    56.2
19780301 19780331    29.6
19780401 19780430    38.4
19780501 19780531    42.2
19780601 19780630    57.4
19780701 19780731    66.4
19780801 19780831    64.6
19780901 19780930    93.4
19781001 19781031    44.8
19781101 19781130    84.6
19781201 19781231    76.6
19790101 19790131    38.1
19790201 19790228    57.8
19790301 19790331   168.5
19790401 19790430     5.4
19790501 19790531    38.4
19790601 19790630    71.2
19790701 19790731    28.6
19790801 19790831     6.8
19790901 19790930    29.8
19791001 19791031    39.6
19791101 19791130    69.4
19791201 19791231    37.8
19800101 19800131    89.6
19800201 19800229    85.6
19800301 19800331     8.4
19800401 19800430    22.4
19800501 19800531    44.8
19800601 19800630     7.2
19800701 19800731    37.2
19800801 19800831    16.2
19800901 19800930     0.0
19801001 19801031   107.2
19801101 19801130    34.8
19801201 19801231   174.8
19810101 19810131    26.1
19810201 19810228   152.4
19810301 19810331    28.1
19810401 19810430    79.2
19810501 19810531    47.0
19810601 19810630    51.2
19810701 19810731    48.3
19810801 19810831    23.4
19810901 19810930     1.8
19811001 19811031    16.5
19811101 19811130    75.6
19811201 19811231   208.6
19820101 19820131    98.6
19820201 19820228    47.2
19820301 19820331    73.0
