PRCP       061071 18890501 20180131 missing_value=99999.9 STROUD POST OFFICE                        
19721001 19721031   198.6
19721101 19721130   117.0
19721201 19721231    90.1
19730101 19730131   105.4
19730201 19730228   213.2
19730301 19730331    52.0
19730401 19730430    21.4
19730501 19730531    14.7
19730601 19730630    24.5
19730701 19730731    92.0
19730801 19730831    43.0
19730901 19730930    56.9
19731001 19731031   121.9
19731101 19731130   124.4
19731201 19731231   122.8
19740101 19740131   242.6
19740201 19740228    34.6
19740301 19740331   159.1
19740401 19740430   103.0
19740501 19740531   174.0
19740601 19740630   180.4
19740701 19740731    14.0
19740801 19740831    60.4
19740901 19740930    38.0
19741001 19741031    49.3
19741101 19741130   122.0
19741201 19741231    27.0
19750101 19750131    35.4
19750201 19750228   124.0
19750301 19750331    67.2
19750401 19750430    63.6
19750501 19750531    10.4
19750601 19750630   189.1
19750701 19750731    13.3
19750801 19750831    17.0
19750901 19750930    96.8
19751001 19751031    38.2
19751101 19751130   103.2
19751201 19751231   105.6
19760101 19760131   162.8
19760201 19760229   148.4
19760301 19760331   402.6
19760401 19760430    99.2
19760501 19760531    46.6
19760601 19760630   145.0
19760701 19760731    84.4
19760801 19760831    18.2
19760901 19760930    23.8
19761001 19761031    83.5
19761101 19761130    47.4
19761201 19761231    22.2
19770101 19770131    77.2
19770201 19770228   156.8
19770301 19770331   247.0
19770401 19770430    31.4
19770501 19770531    47.7
19770601 19770630   118.0
19770701 19770731    25.2
19770801 19770831    20.6
19770901 19770930    47.6
19771001 19771031    17.6
19771101 19771130    28.0
19771201 19771231    43.4
19780101 19780131   253.6
19780201 19780228    19.6
19780301 19780331   426.0
19780401 19780430    86.0
19780501 19780531    56.2
19780601 19780630   161.4
19780701 19780731    15.8
19780801 19780831    73.0
19780901 19780930    55.6
19781001 19781031    92.2
19781101 19781130    87.4
19781201 19781231   140.6
19790101 19790131    71.6
19790201 19790228    12.2
19790301 19790331   142.6
19790401 19790430    22.6
19790501 19790531   160.2
19790601 19790630    95.8
19790701 19790731    32.2
19790801 19790831     2.4
19790901 19790930    25.2
19791001 19791031    28.0
19791101 19791130    48.2
19791201 19791231    27.6
19800101 19800131    29.6
19800201 19800229    48.8
19800301 19800331    50.2
19800401 19800430     8.4
19800501 19800531   121.6
19800601 19800630    84.6
19800701 19800731    28.0
19800801 19800831    12.8
19800901 19800930     3.0
19801001 19801031    51.0
19801101 19801130    11.4
19801201 19801231    91.6
19810101 19810131    25.6
19810201 19810228   216.8
19810301 19810331    31.8
19810401 19810430   142.4
19810501 19810531   121.0
19810601 19810630    59.2
19810701 19810731    27.6
19810801 19810831     6.4
19810901 19810930     9.6
19811001 19811031    88.4
19811101 19811130   146.4
19811201 19811231    83.4
19820101 19820131   116.2
19820201 19820228   116.6
19820301 19820331   265.8
19820401 19820430    32.6
19820501 19820531     2.4
19820601 19820630    72.6
19820701 19820731   112.6
19820801 19820831    17.6
19820901 19820930   156.8
19821001 19821031   155.4
19821101 19821130    16.4
19821201 19821231    50.4
19830101 19830131    65.8
19830201 19830228    45.6
19830301 19830331   106.4
19830401 19830430   129.0
19830501 19830531    91.8
19830601 19830630    41.4
19830701 19830731    40.6
19830801 19830831    30.4
19830901 19830930    35.2
19831001 19831031   123.0
19831101 19831130    34.4
19831201 19831231   128.2
19840101 19840131   162.4
19840201 19840229   134.6
19840301 19840331   126.6
19840401 19840430    97.6
19840501 19840531    40.6
19840601 19840630    63.0
19840701 19840731    99.8
19840801 19840831     9.8
19840901 19840930    28.2
19841001 19841031   144.8
