PRCP       026026 19010101 20180131 missing_value=99999.9 ROBE                                      
19880201 19880229    25.6
19880301 19880331    29.0
19880401 19880430    18.0
19880501 19880531    95.4
19880601 19880630   125.0
19880701 19880731   145.8
19880801 19880831    91.2
19880901 19880930    70.8
19881001 19881031    36.4
19881101 19881130    28.3
19881201 19881231    17.2
19890101 19890131    13.8
19890201 19890228     3.0
19890301 19890331    14.9
19890401 19890430    49.8
19890501 19890531    81.0
19890601 19890630   178.6
19890701 19890731   132.8
19890801 19890831   115.8
19890901 19890930    46.6
19891001 19891031    61.4
19891101 19891130     6.6
19891201 19891231     7.6
19900101 19900131    12.0
19900201 19900228    19.2
19900301 19900331     7.1
19900401 19900430    10.8
19900501 19900531    13.4
19900601 19900630    83.0
19900701 19900731   164.6
19900801 19900831   177.6
19900901 19900930    58.6
19901001 19901031    35.8
19901101 19901130    21.8
19901201 19901231    40.8
19910101 19910131    15.6
19910201 19910228     0.0
19910301 19910331    22.4
19910401 19910430    26.2
19910501 19910531    12.4
19910601 19910630   162.8
19910701 19910731    91.0
19910801 19910831   156.8
19910901 19910930    51.6
19911001 19911031    10.4
19911101 19911130    30.0
19911201 19911231    10.6
19920101 19920131     8.4
19920201 19920229     5.8
19920301 19920331    29.8
19920401 19920430    84.0
19920501 19920531    70.0
19920601 19920630    65.6
19920701 19920731    92.6
19920801 19920831    95.2
19920901 19920930    91.0
19921001 19921031    83.6
19921101 19921130    56.4
19921201 19921231    31.0
19930101 19930131    15.6
19930201 19930228    20.6
19930301 19930331    17.4
19930401 19930430     6.6
19930501 19930531    40.8
19930601 19930630    84.2
19930701 19930731    74.2
19930801 19930831    90.6
19930901 19930930    74.8
19931001 19931031    66.0
19931101 19931130    32.4
19931201 19931231    62.4
19940101 19940131    26.0
19940201 19940228     6.0
19940301 19940331     2.4
19940401 19940430    21.2
19940501 19940531    62.4
19940601 19940630    96.4
19940701 19940731    98.8
19940801 19940831    51.0
19940901 19940930    32.0
19941001 19941031    58.6
19941101 19941130    26.4
19941201 19941231    30.0
19950101 19950131    24.4
19950201 19950228    23.4
19950301 19950331    36.0
19950401 19950430    62.8
19950501 19950531    36.0
19950601 19950630    78.6
19950701 19950731   135.6
19950801 19950831    44.8
19950901 19950930    39.2
19951001 19951031    19.4
19951101 19951130    11.6
19951201 19951231    14.8
19960101 19960131    17.6
19960201 19960229    18.4
19960301 19960331     9.0
19960401 19960430    25.8
19960501 19960531    11.2
19960601 19960630   138.8
19960701 19960731   129.0
19960801 19960831   123.0
19960901 19960930   103.2
