PRCP       022801 18731101 20070731 missing_value=99999.9 CAPE BORDA                                
19540801 19540831    82.2
19540901 19540930    62.4
19541001 19541031    54.8
19541101 19541130    23.8
19541201 19541231    38.4
19550101 19550131     6.1
19550201 19550228    12.4
19550301 19550331    19.8
19550401 19550430    52.3
19550501 19550531   103.2
19550601 19550630   196.2
19550701 19550731    62.4
19550801 19550831   100.8
19550901 19550930    51.1
19551001 19551031    38.9
19551101 19551130    59.1
19551201 19551231    20.3
19560101 19560131    29.9
19560201 19560229     4.3
19560301 19560331    11.7
19560401 19560430    74.6
19560501 19560531   141.0
19560601 19560630   206.8
19560701 19560731   124.8
19560801 19560831   126.3
19560901 19560930   103.0
19561001 19561031    58.4
19561101 19561130     9.8
19561201 19561231    27.3
19570101 19570131     1.5
19570201 19570228     1.1
19570301 19570331    46.6
19570401 19570430    53.6
19570501 19570531    28.7
19570601 19570630    98.0
19570701 19570731   137.6
19570801 19570831   105.2
19570901 19570930    53.5
19571001 19571031    19.8
19571101 19571130    23.9
19571201 19571231    12.3
19580101 19580131     3.8
19580201 19580228     3.6
19580301 19580331    18.5
19580401 19580430    12.8
19580501 19580531   114.3
19580601 19580630    50.0
19580701 19580731   138.1
19580801 19580831    77.7
19580901 19580930    80.7
19581001 19581031   114.3
19581101 19581130    13.8
19581201 19581231    13.3
19590101 19590131     0.0
19590201 19590228    43.3
19590301 19590331    27.5
19590401 19590430    12.2
19590501 19590531    27.2
19590601 19590630    33.8
19590701 19590731    86.6
19590801 19590831    70.5
19590901 19590930    58.2
19591001 19591031    44.4
19591101 19591130    16.2
19591201 19591231    44.8
19600101 19600131    22.3
19600201 19600229    71.4
19600301 19600331    27.9
19600401 19600430    92.2
19600501 19600531   167.0
19600601 19600630    61.1
19600701 19600731    77.5
19600801 19600831    70.0
19600901 19600930    59.2
19601001 19601031    21.1
19601101 19601130    18.5
19601201 19601231    14.5
19610101 19610131     7.9
19610201 19610228     7.2
19610301 19610331    11.3
19610401 19610430   117.4
19610501 19610531    46.0
19610601 19610630    78.5
19610701 19610731    96.4
19610801 19610831    69.2
