PRCP       089033 18790501 20180131 missing_value=99999.9 WICKLIFFE                                 
19650101 19650131     4.8
19650201 19650228     0.0
19650301 19650331    20.0
19650401 19650430    55.6
19650501 19650531    64.2
19650601 19650630    36.7
19650701 19650731    74.8
19650801 19650831    52.1
19650901 19650930    47.5
19651001 19651031    13.4
19651101 19651130    72.4
19651201 19651231    35.8
19660101 19660131    15.4
19660201 19660228    48.3
19660301 19660331    43.5
19660401 19660430    28.8
19660501 19660531    22.1
19660601 19660630    21.5
19660701 19660731    91.8
19660801 19660831    72.4
19660901 19660930    65.2
19661001 19661031    58.7
19661101 19661130    23.2
19661201 19661231   121.0
19670101 19670131    14.7
19670201 19670228    17.5
19670301 19670331    11.0
19670401 19670430     6.3
19670501 19670531    20.7
19670601 19670630     5.4
19670701 19670731    42.1
19670801 19670831    73.3
19670901 19670930    29.1
19671001 19671031    14.2
19671101 19671130    13.1
19671201 19671231    32.4
19680101 19680131    11.2
19680201 19680229    19.9
19680301 19680331    32.4
19680401 19680430    73.0
19680501 19680531    84.6
19680601 19680630    56.1
19680701 19680731    59.6
19680801 19680831    58.3
19680901 19680930    32.8
19681001 19681031    57.9
19681101 19681130    47.5
19681201 19681231    21.7
19690101 19690131    25.3
19690201 19690228    78.4
19690301 19690331    78.6
19690401 19690430    25.7
19690501 19690531    89.1
19690601 19690630     6.7
19690701 19690731    45.0
19690801 19690831    70.6
19690901 19690930    65.7
19691001 19691031    30.7
19691101 19691130    52.7
19691201 19691231    38.5
19700101 19700131    61.6
19700201 19700228     3.0
19700301 19700331    77.2
19700401 19700430    65.5
19700501 19700531    38.9
19700601 19700630    44.7
19700701 19700731    38.2
19700801 19700831    86.5
19700901 19700930    45.7
19701001 19701031    27.3
19701101 19701130   138.8
19701201 19701231    59.7
19710101 19710131    38.0
19710201 19710228    25.8
19710301 19710331    22.1
19710401 19710430    86.2
19710501 19710531    58.6
19710601 19710630    60.2
19710701 19710731    44.1
19710801 19710831    47.9
19710901 19710930    57.4
19711001 19711031    82.7
19711101 19711130   121.9
19711201 19711231    56.9
19720101 19720131    37.7
19720201 19720229    76.1
19720301 19720331    50.3
19720401 19720430    69.3
19720501 19720531    24.0
19720601 19720630    26.4
19720701 19720731    53.2
19720801 19720831    42.5
19720901 19720930    30.0
19721001 19721031    41.2
19721101 19721130    73.6
19721201 19721231     0.5
19730101 19730131    21.5
19730201 19730228    99.4
19730301 19730331    36.7
19730401 19730430    17.3
19730501 19730531    65.9
19730601 19730630    46.7
19730701 19730731    45.6
19730801 19730831    52.8
19730901 19730930    60.7
19731001 19731031    91.6
19731101 19731130    67.0
19731201 19731231    37.4
19740101 19740131    57.8
