PRCP       024515 18890801 20171231 missing_value=99999.9 LANGHORNE CREEK                           
19730901 19730930    24.8
19731001 19731031    57.1
19731101 19731130    17.4
19731201 19731231     9.2
19740101 19740131    58.2
19740201 19740228    80.3
19740301 19740331    10.2
19740401 19740430    61.0
19740501 19740531    56.0
19740601 19740630    21.8
19740701 19740731    82.2
19740801 19740831    32.2
19740901 19740930    43.8
19741001 19741031   107.2
19741101 19741130    11.8
19741201 19741231     5.6
19750101 19750131    18.6
19750201 19750228     7.0
19750301 19750331    47.8
19750401 19750430     8.8
19750501 19750531    17.4
19750601 19750630    19.0
19750701 19750731    44.8
19750801 19750831    39.8
19750901 19750930    35.2
19751001 19751031    94.6
19751101 19751130    18.2
19751201 19751231    10.6
19760101 19760131    25.0
19760201 19760229    34.6
19760301 19760331     0.8
19760401 19760430    18.0
19760501 19760531    14.0
19760601 19760630    34.4
19760701 19760731    12.0
19760801 19760831    43.0
19760901 19760930    42.5
19761001 19761031    78.6
19761101 19761130    40.2
19761201 19761231    26.4
19770101 19770131    17.4
19770201 19770228    10.4
19770301 19770331    16.6
19770401 19770430    29.4
19770501 19770531    45.2
19770601 19770630    38.0
19770701 19770731    15.6
19770801 19770831    10.9
19770901 19770930    30.4
19771001 19771031    17.7
19771101 19771130    46.6
19771201 19771231     9.6
19780101 19780131     8.3
19780201 19780228     0.8
19780301 19780331     7.2
19780401 19780430    43.2
19780501 19780531    65.5
19780601 19780630    59.3
19780701 19780731    54.4
19780801 19780831    70.2
19780901 19780930    57.0
19781001 19781031    42.8
19781101 19781130    37.6
19781201 19781231    10.8
19790101 19790131    35.7
19790201 19790228    44.2
19790301 19790331    16.7
19790401 19790430    35.2
19790501 19790531    33.3
19790601 19790630    10.4
19790701 19790731    24.4
19790801 19790831    50.0
19790901 19790930    54.8
19791001 19791031    59.4
19791101 19791130    34.0
19791201 19791231     9.4
19800101 19800131     5.0
19800201 19800229     0.8
19800301 19800331     3.2
19800401 19800430    74.3
19800501 19800531    30.6
19800601 19800630    39.0
19800701 19800731    19.7
19800801 19800831    21.6
19800901 19800930    18.2
19801001 19801031    79.0
19801101 19801130    14.8
19801201 19801231    24.0
19810101 19810131    19.2
19810201 19810228     5.2
19810301 19810331    45.0
19810401 19810430     7.2
19810501 19810531    25.6
19810601 19810630    86.8
19810701 19810731    57.8
19810801 19810831    65.8
19810901 19810930    10.4
19811001 19811031    18.8
19811101 19811130    33.0
19811201 19811231     7.2
19820101 19820131    20.4
19820201 19820228     2.4
19820301 19820331    20.6
19820401 19820430    49.6
19820501 19820531    46.4
19820601 19820630    31.6
19820701 19820731     8.6
19820801 19820831    18.2
19820901 19820930    24.4
19821001 19821031    18.8
19821101 19821130     0.2
19821201 19821231     9.2
19830101 19830131     6.6
19830201 19830228     2.4
19830301 19830331   102.2
19830401 19830430    65.8
19830501 19830531    37.7
19830601 19830630    15.4
19830701 19830731    57.6
19830801 19830831    69.8
19830901 19830930    32.2
19831001 19831031    53.6
19831101 19831130    13.8
19831201 19831231    23.8
19840101 19840131    21.0
19840201 19840229     4.8
19840301 19840331    31.4
19840401 19840430    26.0
19840501 19840531    28.2
19840601 19840630    16.4
19840701 19840731    54.8
19840801 19840831    89.0
19840901 19840930    41.4
19841001 19841031    19.6
19841101 19841130    38.6
19841201 19841231     2.8
19850101 19850131     5.8
