PRCP       048039 18911201 20150630 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
19821201 19821231     0.0
19830101 19830131    71.6
19830201 19830228    31.2
19830301 19830331   117.2
19830401 19830430    65.2
19830501 19830531   173.2
19830601 19830630    14.6
19830701 19830731    12.8
19830801 19830831    83.2
19830901 19830930     5.6
19831001 19831031     1.6
19831101 19831130    64.4
19831201 19831231    34.2
19840101 19840131   132.4
19840201 19840229    53.4
19840301 19840331     6.2
19840401 19840430    20.0
19840501 19840531     0.0
19840601 19840630    19.8
19840701 19840731    62.4
19840801 19840831     5.2
19840901 19840930    16.0
19841001 19841031    42.6
19841101 19841130    33.6
19841201 19841231     2.4
19850101 19850131     1.2
19850201 19850228    23.4
19850301 19850331     4.2
19850401 19850430     0.0
19850501 19850531     5.0
19850601 19850630     7.2
19850701 19850731    29.6
19850801 19850831    51.2
19850901 19850930     0.8
19851001 19851031    31.8
19851101 19851130    79.8
19851201 19851231    60.4
19860101 19860131     0.0
19860201 19860228     0.4
19860301 19860331     3.4
19860401 19860430     8.2
19860501 19860531    89.6
19860601 19860630     5.6
19860701 19860731   102.0
19860801 19860831    34.7
19860901 19860930    51.6
19861001 19861031    38.0
19861101 19861130    60.0
19861201 19861231    16.3
19870101 19870131    16.0
19870201 19870228    43.0
