PRCP       009739 19010801 20180131 missing_value=99999.9 WELCOME DOWNS                             
19921001 19921031    66.0
19921101 19921130    64.7
19921201 19921231    36.8
19930101 19930131     6.1
19930201 19930228     0.0
19930301 19930331    33.2
19930401 19930430    25.3
19930501 19930531    90.9
19930601 19930630    55.2
19930701 19930731    67.2
19930801 19930831    65.2
19930901 19930930    26.8
19931001 19931031    62.2
19931101 19931130    42.7
19931201 19931231     5.6
19940101 19940131     2.6
19940201 19940228     0.0
19940301 19940331    17.6
19940401 19940430     0.5
19940501 19940531    20.0
19940601 19940630    55.9
19940701 19940731    31.0
19940801 19940831    21.6
19940901 19940930    36.4
19941001 19941031    80.2
19941101 19941130 99999.9
19941201 19941231 99999.9
19950101 19950131    37.2
19950201 19950228    46.0
19950301 19950331    18.8
19950401 19950430    11.2
19950501 19950531    80.4
19950601 19950630    99.5
19950701 19950731   112.0
19950801 19950831    30.6
19950901 19950930    23.2
19951001 19951031    39.0
19951101 19951130    15.4
19951201 19951231    32.4
19960101 19960131     2.4
19960201 19960229     5.6
19960301 19960331    48.2
19960401 19960430    54.4
19960501 19960531    23.6
19960601 19960630    48.6
19960701 19960731    64.4
19960801 19960831 99999.9
19960901 19960930    88.6
19961001 19961031    47.4
19961101 19961130    25.2
19961201 19961231 99999.9
