PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
19520201 19520229    76.9
19520301 19520331    84.7
19520401 19520430    47.4
19520501 19520531    28.0
19520601 19520630     1.5
19520701 19520731    32.3
19520801 19520831    18.2
19520901 19520930     1.8
19521001 19521031    68.6
19521101 19521130    43.0
19521201 19521231    44.9
19530101 19530131    29.5
19530201 19530228    77.9
19530301 19530331    11.5
19530401 19530430    56.2
19530501 19530531    32.3
19530601 19530630     0.0
19530701 19530731     8.6
19530801 19530831    17.8
19530901 19530930     0.0
19531001 19531031    27.0
19531101 19531130    29.5
19531201 19531231     0.5
19540101 19540131    96.6
19540201 19540228    44.0
19540301 19540331     0.0
19540401 19540430     0.3
19540501 19540531     0.0
19540601 19540630    62.3
19540701 19540731    49.6
19540801 19540831    49.3
19540901 19540930     5.3
19541001 19541031    82.9
19541101 19541130     2.1
19541201 19541231    15.8
19550101 19550131    75.3
19550201 19550228   132.0
19550301 19550331    28.7
19550401 19550430    52.9
19550501 19550531    31.5
19550601 19550630     5.8
19550701 19550731    34.6
19550801 19550831    36.9
19550901 19550930     3.8
19551001 19551031    44.5
19551101 19551130    42.8
19551201 19551231     5.6
19560101 19560131   121.4
19560201 19560229   265.8
19560301 19560331   268.9
19560401 19560430    13.2
19560501 19560531    69.9
19560601 19560630    47.7
19560701 19560731    61.7
19560801 19560831     0.0
19560901 19560930    13.4
19561001 19561031    34.5
19561101 19561130     6.4
19561201 19561231    21.6
19570101 19570131    10.1
19570201 19570228    27.2
19570301 19570331    39.2
19570401 19570430    19.4
19570501 19570531     2.0
19570601 19570630    40.9
19570701 19570731     0.8
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     8.9
19571101 19571130     0.0
19571201 19571231     1.8
19580101 19580131    11.1
19580201 19580228    25.1
19580301 19580331     1.5
19580401 19580430    33.4
19580501 19580531    12.0
19580601 19580630    56.2
19580701 19580731     3.0
19580801 19580831    21.7
19580901 19580930    13.2
19581001 19581031    20.5
19581101 19581130    42.6
19581201 19581231     3.3
19590101 19590131    48.7
19590201 19590228    20.8
19590301 19590331     8.1
19590401 19590430    23.6
19590501 19590531    29.2
19590601 19590630    13.2
19590701 19590731     5.3
19590801 19590831     1.5
19590901 19590930     9.5
19591001 19591031    22.6
19591101 19591130     1.0
19591201 19591231    19.3
19600101 19600131    30.0
19600201 19600229    53.9
19600301 19600331     0.0
19600401 19600430     2.6
19600501 19600531    36.4
19600601 19600630    27.4
19600701 19600731    19.9
19600801 19600831     8.9
19600901 19600930     7.7
19601001 19601031     0.0
19601101 19601130    64.8
19601201 19601231     7.6
19610101 19610131   102.9
19610201 19610228    61.9
19610301 19610331    28.0
19610401 19610430    82.0
19610501 19610531     2.5
