PRCP       068016 19040101 20130131 missing_value=99999.9 CATARACT DAM                              
19911101 19911130    45.2
19911201 19911231   313.8
19920101 19920131    83.9
19920201 19920229   320.8
19920301 19920331    79.7
19920401 19920430    44.4
19920501 19920531    37.8
19920601 19920630    95.1
19920701 19920731    20.6
19920801 19920831    20.2
19920901 19920930    26.3
19921001 19921031    38.3
19921101 19921130   126.1
19921201 19921231   165.8
19930101 19930131    61.3
19930201 19930228    63.9
19930301 19930331   144.7
19930401 19930430    11.9
19930501 19930531    15.0
19930601 19930630    41.1
19930701 19930731    58.6
19930801 19930831    52.0
19930901 19930930   126.0
19931001 19931031    81.3
19931101 19931130    74.5
19931201 19931231    36.6
19940101 19940131    16.9
19940201 19940228   112.6
19940301 19940331   143.7
19940401 19940430    47.4
19940501 19940531    23.5
19940601 19940630    36.8
19940701 19940731     9.2
19940801 19940831    14.6
19940901 19940930    17.6
19941001 19941031    32.9
19941101 19941130    70.4
19941201 19941231    41.8
19950101 19950131   154.2
19950201 19950228    66.6
19950301 19950331   256.3
19950401 19950430     8.0
19950501 19950531   366.0
19950601 19950630    29.3
19950701 19950731     3.5
19950801 19950831     0.3
19950901 19950930   171.4
19951001 19951031    54.2
19951101 19951130    81.6
19951201 19951231    98.6
19960101 19960131    95.2
19960201 19960229    58.4
19960301 19960331    21.9
19960401 19960430    54.9
19960501 19960531   133.9
19960601 19960630    57.4
19960701 19960731    55.4
19960801 19960831   162.2
19960901 19960930   112.0
19961001 19961031    49.4
19961101 19961130    79.6
19961201 19961231    48.1
19970101 19970131   111.2
19970201 19970228    98.1
19970301 19970331    90.1
19970401 19970430     4.0
19970501 19970531    81.8
19970601 19970630   142.8
19970701 19970731    32.6
19970801 19970831     5.6
19970901 19970930    90.6
19971001 19971031    51.2
19971101 19971130    31.4
19971201 19971231    39.4
19980101 19980131    98.8
19980201 19980228    48.6
19980301 19980331     8.7
19980401 19980430    88.9
19980501 19980531   155.6
19980601 19980630    81.2
19980701 19980731    68.4
19980801 19980831   533.3
19980901 19980930    36.9
19981001 19981031    21.4
19981101 19981130    94.6
19981201 19981231    17.3
19990101 19990131    76.4
19990201 19990228   126.8
19990301 19990331    53.5
19990401 19990430    80.8
19990501 19990531    41.6
19990601 19990630    61.4
19990701 19990731   238.2
19990801 19990831    42.0
